Name,Team,Age,Height,Home Country
Edwards Kessler,Dallas Mavericks,24,2m03,United States
Edwards Jesse,Minnesota Timberwolves,24,2m11,Netherlands
Edwards Anthony,Minnesota Timberwolves,23,1m95,United States
Ellis Keon,Sacramento Kings,25,1m97,United States
Ellis Boogie,Sacramento Kings,24,1m90,United States
Embiid Joel,Philadelphia 76ers,30,2m13,Cameroon
Estrada Aaron,Detroit Pistons,24,1m92,United States
Eubanks Drew,Utah Jazz,28,2m09,United States
Evbuomwan Tosan,Detroit Pistons,24,2m01,United-Kingdom
Exum Dante,Dallas Mavericks,29,1m93,Australia
Fernando Bruno,Toronto Raptors,26,2m06,United States
Fiedler Max,Philadelphia 76ers,,2m07,United States
Filipowski Kyle,Utah Jazz,21,2m11,United States
Finney-Smith Dorian,Brooklyn Nets,31,2m03,United States
Flagler Adam,Oklahoma City Thunder,,1m91,United States
Flowers Trentyn,Los Angeles Clippers,19,-,
Flynn Malachi,San Antonio Spurs,26,1m84,United States
Fontecchio Simone,Detroit Pistons,29,2m03,Italy
Fox De'Aaron,Sacramento Kings,27,1m91,United States
Freeman Enrique,Indiana Pacers,24,2m00,United States
Fultz Markelle,Sacramento Kings,26,1m93,United States
Funk Taylor,Washington Wizards,27,2m03,United States
Funk Andrew,Denver Nuggets,25,1m95,United States
Furphy Johnny,Indiana Pacers,20,2m06,Australia
Gafford Daniel,Dallas Mavericks,26,2m11,United States
Garland Darius,Cleveland Cavaliers,25,1m88,United States
Garza Luka,Minnesota Timberwolves,26,2m11,United States
George Kyshawn,Washington Wizards,21,2m03,Switzerland
George Paul,Philadelphia 76ers,34,2m03,United States
George Keyonte,Utah Jazz,21,1m93,United States
Gibson Taj,Charlotte Hornets,39,2m05,United States
Giddey Josh,Chicago Bulls,22,2m03,Australia
Giles Harry,Charlotte Hornets,26,2m08,United States
Gilgeous-Alexander Shai,Oklahoma City Thunder,26,1m98,Canada
Gill Anthony,Washington Wizards,32,2m04,United States
Gillespie Collin,Phoenix Suns,25,1m90,United States
Gilyard Jacob,Cleveland Cavaliers,26,1m74,United States
Gobert Rudy,Minnesota Timberwolves,32,2m15,France
Goodwin Jordan,Los Angeles Lakers,26,1m91,United States
Gordon Aaron,Denver Nuggets,29,2m05,United States
Gordon Eric,Philadelphia 76ers,36,1m92,United States
Gortman Jazian,Dallas Mavericks,,1m86,
Graham Devonte,Portland Trail Blazers,30,1m88,United States
Grant Jerami,Portland Trail Blazers,30,2m03,
Green Josh,Charlotte Hornets,24,1m98,Australia
Green Draymond,Golden State Warriors,34,2m00,United States
Green Jalen,Houston Rockets,23,1m98,United States
Green Jeff,Houston Rockets,38,2m03,United States
Green Javonte,New Orleans Pelicans,31,1m93,United States
Green A.J.,Milwaukee Bucks,25,1m92,United States
Grimes Quentin,Dallas Mavericks,24,1m97,United States
Gueye Mouhamed,Atlanta Hawks,22,2m10,Senegal
Hachimura Rui,Los Angeles Lakers,27,2m03,Japan
Haliburton Tyrese,Indiana Pacers,25,1m97,United States
Hall P.J.,Denver Nuggets,23,2m07,United States
Hardaway Jr. Tim,Detroit Pistons,32,1m98,United States
Harden James,Los Angeles Clippers,35,1m96,United States
Hardy Jaden,Dallas Mavericks,22,1m93,United States
Harkless Elijah,Los Angeles Clippers,25,1m90,United States
Harper Jr. Ron,Boston Celtics,24,1m97,United States
Harris Tobias,Detroit Pistons,32,2m05,United States
Harris Kevon,Atlanta Hawks,27,1m98,United States
Harris Gary,Orlando Magic,30,1m93,United States
Hart Josh,New York Knicks,29,1m96,United States
Hartenstein Isaiah,Oklahoma City Thunder,26,2m13,Germany
Hauser Sam,Boston Celtics,27,2m01,United States
Hawkins Jordan,New Orleans Pelicans,22,-,United States
Hayes Jaxson,Los Angeles Lakers,24,2m13,United States
Hayes Killian,Brooklyn Nets,23,1m92,France
Henderson Scoot,Portland Trail Blazers,21,1m93,United States
Hendricks Taylor,Utah Jazz,22,2m05,United States
Herro Tyler,Miami Heat,25,1m96,United States
Hield Buddy,Golden State Warriors,32,1m93,Bahamas
Highsmith Haywood,Miami Heat,28,1m96,United States
Hill Malcolm,New Orleans Pelicans,29,1m98,United States
Hinson Blake,Golden State Warriors,25,2m04,United States
Hinton Nate,Houston Rockets,25,1m96,United States
Holiday Aaron,Houston Rockets,28,1m85,United States
Holiday Jrue,Boston Celtics,34,1m90,United States
Holland Ronald,Detroit Pistons,19,2m07,United States
Holmes Richaun,Washington Wizards,31,2m06,United States
Holmgren Chet,Oklahoma City Thunder,22,2m15,United States
